,G49X1,G39X9,G42X12,G48X8,G44X2,G50X4,G42X11,G38X5,G38X11,G42X7,G44X1,G45X2,G45X5,G49X10x,G50X2,G50X8,G38X6,G38X9,G40X1,G40X2,G44X7,G48X2,G49X6,G49X7,G38X18,G39X11,G39X12,G44X4,G47X1,G48X6,G49X11,G49X12,S38,S39,S40,S42,S44,S47,S48,S49
ASV_1,0,0,851,0,0,4129,157,16547,151,0,1022,0,14675,691,10240,16463,0,470,0,0,0,0,0,45960,0,0,0,27836,45077,3120,0,1221,1152,257,1669,311,3181,4539,2956,4514
ASV_10,0,0,0,0,0,0,0,0,88314,0,0,0,0,0,0,0,9049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_101,0,0,0,0,0,158,0,2933,0,0,0,0,467,0,0,861,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0,0,0,0,0,0,0,0,0
ASV_103,0,0,0,0,0,3927,0,0,0,0,139,0,0,0,263,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_104,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,162,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,686,277,2402
ASV_107,0,0,155,0,110,0,665,0,0,0,67,0,89,0,0,0,1707,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1817,0,465,0,0,0,0,0,0,0,0,0,0
ASV_11,0,0,0,0,0,0,0,34168,0,0,0,0,154,0,0,155,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,469,231,214,0
ASV_111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,75
ASV_112,0,0,0,4300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_113,0,0,0,0,0,0,0,1307,0,0,214,0,0,0,0,924,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_114,1303,0,0,0,294,1180,0,0,0,0,345,51,0,546,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_115,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923,0,227,0,0,71,0,133,55,52,96
ASV_116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,44,0,0,0,0,0
ASV_118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,0,0,546,2270,0,0,0,0,0,0,0,0
ASV_119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_12,0,624,0,0,0,1584,3760,0,188,0,1868,0,782,4359,802,2357,0,0,0,0,0,0,0,0,17722,6594,0,261,0,0,0,0,188,0,0,140,73,0,0,296
ASV_120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2074,0,0,0,0,0,0
ASV_121,0,0,0,0,0,0,357,0,1564,0,0,0,0,0,0,0,0,0,0,0,14,418,0,0,0,0,0,0,0,0,208,377,0,0,0,0,0,0,0,258
ASV_122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1944,0,0,0,0,0,0,0,7,0,0,0,0,150
ASV_123,0,0,0,0,2850,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0
ASV_124,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,361,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,161,0,0,833,0,307
ASV_126,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,0,0,810,0,0,0,0,0,0,0
ASV_128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2965,0,0,406
ASV_129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_13,0,0,5298,8412,286,0,0,0,161,0,146,0,0,0,0,1695,18375,0,0,0,275,0,0,0,0,0,0,1807,0,1519,0,0,330,0,141,233,133,568,233,0
ASV_130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_131,197,0,0,0,486,0,0,0,0,0,232,0,1854,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,123,96,0,0
ASV_134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,101,0,65,0,0,0,505,0
ASV_135,0,0,0,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1945,0,0,0,0
ASV_136,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2267,0,0,0,0,0,0,0,0,0,0,81,0,0
ASV_137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_138,0,0,0,0,0,0,0,0,0,0,214,0,226,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,0,0,0,0,87,0,0,0,0,0,0,0,170,0,0,0,0,0,180,0,0,549,0,205
ASV_14,0,31,0,0,0,0,0,0,23,80,46,0,5,408,0,577,0,0,0,0,147,0,150,147,0,0,0,5098,2745,8490,0,688,820,156,2590,241,2645,800,3072,2242
ASV_140,0,0,0,2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_142,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,616,811,127
ASV_144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0
ASV_145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,171,0,34,0,0,0,730,0
ASV_146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,0
ASV_147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2374,0,0,0,0,0,0,0,0,0,0
ASV_148,0,0,0,0,0,2318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_149,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0
ASV_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2929,67,2935,1843,7687,2890
ASV_150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,47,72,507
ASV_152,0,0,0,0,0,0,0,0,2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_154,0,0,0,0,0,0,0,0,0,0,0,0,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,0,0,0,0,0,0,0,0
ASV_156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,0,0,404,0,0,151
ASV_157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_158,0,0,0,0,0,0,0,0,0,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,24,0,605,0,171
ASV_16,0,0,0,0,0,0,71,0,0,303,193,0,0,0,0,2142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,2272,51,2177,12493,1809,5831
ASV_162,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,0,0,504,0,583
ASV_163,0,0,0,0,0,0,0,0,0,24,0,285,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,374,0,795,0,0,0,0,0,81,0,59,0,0
ASV_164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_165,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_167,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,41,44,0,0,8,0,32
ASV_168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1667,0,0
ASV_17,0,0,0,0,0,0,4007,0,0,0,609,0,0,0,331,0,0,0,0,0,0,0,0,0,19425,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0
ASV_170,0,0,0,0,1573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_171,0,0,0,0,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771
ASV_172,0,0,0,0,1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_174,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_177,0,0,0,0,0,0,0,0,0,0,0,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
