NAME,Sample,Maturity
G38X5,Gaster,MS1
G39X9,Gaster,MS1
G42X11,Gaster,MS1
G42X12,Gaster,MS1
G44X2,Gaster,MS1
G48X8,Gaster,MS1
G49X1,Gaster,MS1
G50X4,Gaster,MS1
G38X11,Gaster,MS2
G42X7,Gaster,MS2
G44X1,Gaster,MS2
G45X2,Gaster,MS2
G45X5,Gaster,MS2
G49X10x,Gaster,MS2
G50X2,Gaster,MS2
G50X8,Gaster,MS2
G38X6,Gaster,MS3
G38X9,Gaster,MS3
G40X1,Gaster,MS3
G40X2,Gaster,MS3
G44X7,Gaster,MS3
G48X2,Gaster,MS3
G49X6,Gaster,MS3
G49X7,Gaster,MS3
G38X18,Gaster,MS4
G39X11,Gaster,MS4
G39X12,Gaster,MS4
G44X4,Gaster,MS4
G47X1,Gaster,MS4
G48X6,Gaster,MS4
G49X11,Gaster,MS4
G49X12,Gaster,MS4
S38,Soil,Soil
S39,Soil,Soil
S40,Soil,Soil
S42,Soil,Soil
S44,Soil,Soil
S47,Soil,Soil
S48,Soil,Soil
S49,Soil,Soil
